"Date","ES","NQ","RTY","IXT","ADBE","AMED","CMCSA","CRM","CSCO","DECK","FR","GNRC","GOOGL","HAE","IBM","INTC","JNJ","JPM","NVDA","PEP","POR","PYPL","TDOC","V"
2018-01-04,2723.75,6603.5,1557,659.9,183.220001,53.049999,38.999725,106.68,36.804157,78.959999,28.854229,50.07,1095.76001,61.759998,147.622131,42.284492,133.086853,103.246048,212.167068,111.227173,41.411552,76.730003,37.200001,114.576485
2018-01-05,2742.5,6667.75,1561.9,666.7,185.339996,52.889999,39.354534,108.099998,37.313881,78.959999,28.96801,50.41,1110.290039,62.700001,148.343353,42.579521,134.185242,102.583244,213.965012,111.546761,41.279797,78.699997,37.5,117.320465
2018-01-08,2746.75,6688,1562.4,669.4,185.039993,50.509998,38.817528,108.860001,37.700897,80.970001,28.930084,49.529999,1114.209961,62.630001,149.238037,42.579521,134.355713,102.734734,220.521042,110.90757,41.355083,79.050003,36.049999,117.794243
2018-01-09,2752.25,6687,1560.7,667.2,186.699997,50.619999,38.942196,109.150002,37.464912,80,28.949047,48.349998,1112.790039,63.389999,149.566681,41.513607,136.486237,103.255516,220.461441,110.992188,40.818611,79.190002,34.5,117.56723
2018-01-10,2750.5,6677.25,1561.9,665.2,187.110001,51.099998,39.402481,108.800003,37.672581,80.589996,28.455975,47.389999,1110.140015,63.830002,149.886215,40.447689,136.325226,104.391747,222.18985,110.4282,40.263321,79.370003,33.099998,117.438919
2018-01-11,2769.5,6726.5,1587.9,667.9,188.919998,54.529999,40.850464,109.099998,37.851929,81.699997,28.294779,49.02,1112.050049,64.760002,149.904495,41.313744,137.101669,104.950394,222.587204,109.864212,40.216259,79.75,33.200001,118.287766
2018-01-12,2788.75,6775.25,1596.1,671.5,195.050003,54.759998,40.697037,110.239998,38.578754,82.949997,28.266331,49.27,1130.650024,64.120003,148.936752,41.151958,138.020172,106.683151,221.494507,110.33419,40.112736,80.540001,32.650002,118.534531
2018-01-16,2782.5,6762.25,1577.2,669.1,192.460007,57.029999,40.102501,108.889999,38.267265,82.25,28.493904,48.990002,1130.699951,63.939999,149.584946,41.056786,139.061798,106.30442,218.643661,110.785385,39.85862,80.419998,32.75,118.83065
2018-01-17,2803.75,6823.75,1589,678.9,196.490005,55.740002,39.968254,110.040001,38.890263,83.449997,28.702515,50.549999,1139.099976,65.089996,153.967041,42.246418,139.175415,106.986145,223.222931,112.026161,40.272736,82.470001,32.450001,120.400055
2018-01-18,2796.25,6813,1575,680.8,196.199997,54.790001,40.131271,111.769997,38.984653,83.529999,28.43701,50.41,1135.969971,64.209999,154.396103,42.332081,139.118591,107.241806,222.944794,111.903961,39.999794,82.940002,31.299999,121.515427
2018-01-19,2811,6845.75,1599,681.2,195.729996,55.59,40.754574,111.93,38.975216,85.389999,28.607691,51.639999,1143.5,64.389999,148.23378,42.655663,139.535217,107.005096,228.577011,112.956718,39.905678,83.839996,32.650002,121.110733
2018-01-22,2835.25,6931,1607,688.3,197.839996,56.57,41.128555,112.889999,39.324471,86.309998,29.138689,51.700001,1164.160034,65.830002,148.443787,43.540745,140.273819,108.254951,232.133179,114.216301,39.820969,83.980003,32.75,122.71962
